Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_erg,form_ungrammatical_nom,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cybernetics_00839,14,"ეკონომიკური კიბერნეტიკა — მეცნიერების დარგი, რომელიც სწავლობს კიბერნეტიკის ზოგადი კანონებისა და მეთოდების [MASK] ეკონომიკური პროცესების მართვასა და რეგულირებაში.",გამოყენებას,გამოყენებამ,გამოყენება,-293.84440833054043,293.84440833054043,-289.09278870756964,289.09278870756964,-303.06135550683837,303.06135550683837
1,wiki_education_00952,9,"პროფესიული განათლება — განათლების სახე, რომელიც უზრუნველყოფს [MASK] კონკრეტულ პროფესიულ სფეროში დასაქმებისათვის საჭირო ცოდნითა და უნარ-ჩვევებით.",ადამიანს,ადამიანმა,ადამიანი,-265.7653220913887,265.7653220913887,-264.2075989778004,264.2075989778004,-269.07652271144457,269.07652271144457
2,wiki_engineering_01057,14,"ნეიროინჟინერიის საფუძვლები ნეირონების, ნერვული ქსელებისა და ნერვული სისტემების ფუნქციების გაზომვად მოდელებს შორის [MASK] მოიცავს, რაც გულისხმობს იმ ხელსაწყოებისა და ტექნიკის განვითარების ხელშეწყობას, რომელთა საშუალებითაც სიგნალების კონტროლი, გადართაგმნა და შესაბამისი პასუხის მოძებნაა შესაძლებელი.",კავშირს,კავშირმა,კავშირი,-745.4336320310464,745.4336320310464,-743.947222688673,743.947222688673,-737.3415173400427,737.3415173400427
3,wiki_fantasy_01175,7,"ეპიკური ფენტეზი — ფენტეზის ქვეჟანრი, [MASK] ახასიათებს გამოგონილი სამყაროს გარემო ან ეპიკური პერსონაჟები, თემები და სიუჟეტი.",რომელსაც,რომელმაც,რომელიც,-335.0027614277742,335.0027614277742,-330.0663798646484,330.0663798646484,-333.22877076828917,333.22877076828917
4,wiki_geochemistry_01316,5,"პლანეტოლოგია მიეკუთვნება დისციპლინათშორის სამეცნიერო [MASK], რომელიც თავდაპირველად ჩამოყალიბდა როგორც დედამიწის და ფიზიკის შემსწავლელი მეცნიერება.",დარგს,დარგმა,დარგი,-253.92149055949278,253.92149055949278,-249.21528750266904,249.21528750266904,-249.10314760134764,249.10314760134764
5,wiki_geology_01373,11,"ისტორიული გეოლოგია — გეოლოგიის დარგი, რომელიც შეისწავლის დედამიწის ქერქის [MASK] მისი წარმოშობიდან დღემდე.",განვითარებას,განვითარებამ,განვითარება,-241.16786960997496,241.16786960997496,-236.29201982662804,236.29201982662804,-249.6443672806703,249.6443672806703
6,wiki_healthcare_01426,8,"იგი სისტემატურად აქვეყნებს სხვადასხვა სახის დიდძალ სტატისტიკურ [MASK] (მაგ. შობადობას, ეპიდემიებს, ტრავმატიზმს, სხვადასხვა დაავადებათა შესახებ).",ინფორმაციას,ინფორმაციამ,ინფორმაცია,-312.962707945127,312.962707945127,-312.41288463765915,312.41288463765915,-318.6831200344084,318.6831200344084
7,wiki_horticulture_01537,1,"[MASK] ადასტურებს კახეთში აღმოჩენილი ვაზის ნამგლისებრი სასხლავი, რომელიც ბრინჯაოსაგან იყო დამზადებული.",ამას,ამან,ეს,-252.8688463114116,252.8688463114116,-262.95825548952456,262.95825548952456,-209.06706726256962,209.06706726256962
8,wiki_hydrology_01579,11,"თანამედროვე ჰიდროლოგია ფართოდ იყენებს გეოგრაფიულ, გეოფიზიკურ და სხვა მეცნიერულ [MASK], სულ უფრო იზრდება მათემატიკური მეთოდების როლი.",მეთოდებს,მეთოდებმა,მეთოდები,-302.6033094234087,302.6033094234087,-283.9861381840452,283.9861381840452,-303.5202922457133,303.5202922457133
9,wiki_insurance_01648,8,დაზღვევის პირობები განისაზღვრება საბუთით — პოლისით — [MASK] სადაზღვევო კომპანია გასცემს.,რომელსაც,რომელმაც,რომელიც,-140.3204622852495,140.3204622852495,-137.78628829168093,137.78628829168093,-142.31739840305883,142.31739840305883
10,wiki_international_01694,7,ნეოლიბერალური საერთაშორისო ურთიერთობების მიმდევრები იყენებდნენ თამაშის [MASK] რათა აეხსნათ თუ რატომ არ თანამშრომლობენ სახელმწიფოები ერთმანეთთან.,თეორიას,თეორიამ,თეორია,-402.3689974609662,402.3689974609662,-393.5216938477568,393.5216938477568,-396.60535313249346,396.60535313249346
11,wiki_irrigation_01705,15,"მელიორაციული ჰიდროგეოლოგია — ჰიდროგეოლოგიის გამოყენებითი დარგი, რომელიც შეისწავლის და გამოიმუშავებს ჰიდროგეოლოგიური პირობების გაუმჯობესების [MASK], ნიადაგის ნაყოფიერების გაზრდის მიზნით.",მეთოდებს,მეთოდებმა,მეთოდები,-371.67955470453694,371.67955470453694,-363.0988174346382,363.0988174346382,-374.14982799395824,374.14982799395824
12,wiki_law_01749,18,"სამართალი — ბუნებით განპირობებული ადამიანთა უფლება-მოვალეობების განმსაზღვრელი ზოგადსავალდებულო ქცევის წესების ერთობლიობა და საზოგადოებრივი ურთიერთობების მოწესრიგების სისტემა, [MASK] ახასიათებს ნორმატიულობა, ფორმალური განსაზღვრულობა, სისტემურობა და მათი შესრულება სახელმწიფოებრივი ზემოქმედებით არის უზრუნველყოფილი.",რომელსაც,რომელმაც,რომელიც,-586.7736074962304,586.7736074962304,-579.3985522140174,579.3985522140174,-589.6884161344198,589.6884161344198
13,wiki_lexicology_01772,21,"ლექსიკოლოგია (ბერძნ. λεξικός (ლექსიკოს) - სიტყვისა და ლოგია) — ენათმეცნიერების დარგი, რომელიც შეისწავლის ენის ლექსიკურ [MASK], მის შემადგენლობას, ფუნქციონირებასა და ცვალებადობას.",ფონდს,ფონდმა,ფონდი,-721.2099672750468,721.2099672750468,-709.7623697634159,709.7623697634159,-714.2525278240937,714.2525278240937
14,wiki_linguistics_01814,25,"მონათესავე ენათა შედარება გულისხმობს ლექსიკის (მარტივი ფუძეების ანუ ძირების), ბგერების (ფონემების), ფორმანტებისა და შესიტყვების (სინტაგმის) სტრუქტურის [MASK].",შესწავლას,შესწავლამ,შესწავლა,-653.571188411653,653.571188411653,-655.3304644411282,655.3304644411282,-663.2514110624534,663.2514110624534
15,wiki_management_01889,20,"პროექტის მართვა (ინგლ. Project Management) წარმოადგენს აკადემიურ დისციპლინას, რომელიც უზრუნველყოფს დროითი, ადამიანური და მატერიალური რესურსების [MASK], ორგანიზებას, უსაფრთხოებასა და მართვას, რათა წარმატებით შესრულდეს პროექტის მიზნები.",დაგეგმვას,დაგეგმვამ,დაგეგმვა,-452.57100663819256,452.57100663819256,-443.4885858691188,443.4885858691188,-455.8505171173941,455.8505171173941
16,wiki_metallurgy_02026,9,"ლითონმცოდნეობა, ლითონგრაფია — მეცნიერება, რომელიც შეისწავლის [MASK] ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის, აგრეთვე მათი ცვალებადობის კანონზომიერებებს თბური, მექანიკური და სხვა ზემოქმედებათა შედეგად.",კავშირს,კავშირმა,კავშირი,-682.7698914182482,682.7698914182482,-671.4915075063203,671.4915075063203,-680.9050065388365,680.9050065388365
17,wiki_metallurgy_02031,10,"ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის [MASK] იკვლევს ლითონმცოდნეობა (ლითონგრაფია).",კავშირს,კავშირმა,კავშირი,-442.9527605926677,442.9527605926677,-438.3876919228607,438.3876919228607,-449.412327277523,449.412327277523
18,wiki_metaphysics_02051,2,არისტოტელე [MASK] ფილოსოფიის დარგთა შორის უმნიშვნელოვანესად თვლიდა და „პირველად ფილოსოფიას“ ეძახდა.,მას,მან,იგი,-234.58122436883625,234.58122436883625,-226.2511458564489,226.2511458564489,-225.74289241262903,225.74289241262903
19,wiki_physical_02464,6,"ქიმიური თერმოდინამიკა მიზნად ისახავს თერმოდინამიკის [MASK] ქიმიური რეაქციების, ფაზიკური გარდაქმნების (გახსნა, აორთქლება და სხვა).",გამოყენებას,გამოყენებამ,გამოყენება,-352.24101711998196,352.24101711998196,-351.1750154329743,351.1750154329743,-361.97514720633654,361.97514720633654
20,wiki_political_02555,5,"იგი იყენებს კვლევის სტრუქტურულ [MASK], რომელიც დამუშავდა მატემატიკაში, ფიზიკასა და ბუნების სხვა მეცნიერებებში.",მეთოდებს,მეთოდებმა,მეთოდები,-272.67863911986757,272.67863911986757,-239.70018704098874,239.70018704098874,-262.1756519063055,262.1756519063055
21,wiki_politics_02578,2,მონეტარულ [MASK] ძირითადად წარმართავს ცენტრალური ბანკი მონეტარული პოლიტიკის ინსტრუმენტების მეშვეობით.,პოლიტიკას,პოლიტიკამ,პოლიტიკა,-213.92904651710842,213.92904651710842,-216.08716289583552,216.08716289583552,-219.93601671191632,219.93601671191632
22,wiki_semiotics_02652,5,სინტაქტიკა სწავლობს ნიშნების ფორმალურ [MASK] შინაარსისგან დამოუკიდებლად.,სტრუქტურას,სტრუქტურამ,სტრუქტურა,-201.88418306500492,201.88418306500492,-193.63805658426438,193.63805658426438,-204.6835987449004,204.6835987449004
23,wiki_sociolinguistics_02704,1,"[MASK] იყენებს მოსახლეობის შედარებით მცირე ნაწილი, თუმცა იგი ძირითადში გასაგებია სტანდარტული ენის მატარებლებისთვის.",მას,მან,იგი,-199.3131502796727,199.3131502796727,-170.1004210498454,170.1004210498454,-217.987574374077,217.987574374077
24,wiki_sociology_02730,2,კონტი [MASK] სოციალურ სტატიკად და სოციალურ დინამიკად ყოფდა.,სოციოლოგიას,სოციოლოგიამ,სოციოლოგია,-209.2263532056481,209.2263532056481,-236.04325387042715,236.04325387042715,-243.19359833609298,243.19359833609298
25,wiki_veterinary_02924,5,1932 წელს საქართველოს სასოფლო-სამეურნეო [MASK] გამოეყო ზოოტექნიკური ფაკულტეტი და მის ბაზაზე დაარსდა საქართველოს ზოოტექნიკურ-სავეტერინარო ინსტიტუტი ზოოტექნიკური და სავეტერინარო ფაკულტეტებით.,ინსტიტუტს,ინსტიტუტმა,ინსტიტუტი,-542.8746454206614,542.8746454206614,-543.1408887803968,543.1408887803968,-554.156134626323,554.156134626323
26,wiki_veterinary_02926,3,"1959 წელს [MASK] შეუერთდა საქართველოს ვეტერინარიის სამეცნიერო-კვლევითი ინსტიტუტი და მან მიიღო საქართველოს ზოოტექნიკურ-სავეტერინარო სასწავლო-კვლევითი ინსტიტუტის, ხოლო 1999 წლის 11 მაისიდან კი საქართველოს სახელმწიფო ზოოტექნიკურ-სავეტერინარო აკადემიის სახელწოდება.",ინსტიტუტს,ინსტიტუტმა,ინსტიტუტი,-647.6166393308749,647.6166393308749,-633.3755258059242,633.3755258059242,-653.32311413809,653.32311413809
