Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_erg,form_ungrammatical_nom,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cybernetics_00839,14,"ეკონომიკური კიბერნეტიკა — მეცნიერების დარგი, რომელიც სწავლობს კიბერნეტიკის ზოგადი კანონებისა და მეთოდების [MASK] ეკონომიკური პროცესების მართვასა და რეგულირებაში.",გამოყენებას,გამოყენებამ,გამოყენება,-515.5505039484906,515.5505039484906,-514.3164149054621,514.3164149054621,-515.6766978238963,515.6766978238963
1,wiki_education_00952,9,"პროფესიული განათლება — განათლების სახე, რომელიც უზრუნველყოფს [MASK] კონკრეტულ პროფესიულ სფეროში დასაქმებისათვის საჭირო ცოდნითა და უნარ-ჩვევებით.",ადამიანს,ადამიანმა,ადამიანი,-544.3871639991482,544.3871639991482,-545.0511053211267,545.0511053211267,-558.0755972116582,558.0755972116582
2,wiki_engineering_01057,14,"ნეიროინჟინერიის საფუძვლები ნეირონების, ნერვული ქსელებისა და ნერვული სისტემების ფუნქციების გაზომვად მოდელებს შორის [MASK] მოიცავს, რაც გულისხმობს იმ ხელსაწყოებისა და ტექნიკის განვითარების ხელშეწყობას, რომელთა საშუალებითაც სიგნალების კონტროლი, გადართაგმნა და შესაბამისი პასუხის მოძებნაა შესაძლებელი.",კავშირს,კავშირმა,კავშირი,-1233.0796931337375,1233.0796931337375,-1234.2862088260651,1234.2862088260651,-1235.5463751008567,1235.5463751008567
3,wiki_fantasy_01175,7,"ეპიკური ფენტეზი — ფენტეზის ქვეჟანრი, [MASK] ახასიათებს გამოგონილი სამყაროს გარემო ან ეპიკური პერსონაჟები, თემები და სიუჟეტი.",რომელსაც,რომელმაც,რომელიც,-543.2156070012217,543.2156070012217,-541.5324207965605,541.5324207965605,-542.1484816212203,542.1484816212203
4,wiki_geochemistry_01316,5,"პლანეტოლოგია მიეკუთვნება დისციპლინათშორის სამეცნიერო [MASK], რომელიც თავდაპირველად ჩამოყალიბდა როგორც დედამიწის და ფიზიკის შემსწავლელი მეცნიერება.",დარგს,დარგმა,დარგი,-497.8224888802742,497.8224888802742,-481.720853170775,481.720853170775,-497.24482748053634,497.24482748053634
5,wiki_geology_01373,11,"ისტორიული გეოლოგია — გეოლოგიის დარგი, რომელიც შეისწავლის დედამიწის ქერქის [MASK] მისი წარმოშობიდან დღემდე.",განვითარებას,განვითარებამ,განვითარება,-385.1565294932302,385.1565294932302,-373.157759007213,373.157759007213,-385.6581185154867,385.6581185154867
6,wiki_healthcare_01426,8,"იგი სისტემატურად აქვეყნებს სხვადასხვა სახის დიდძალ სტატისტიკურ [MASK] (მაგ. შობადობას, ეპიდემიებს, ტრავმატიზმს, სხვადასხვა დაავადებათა შესახებ).",ინფორმაციას,ინფორმაციამ,ინფორმაცია,-556.809915154184,556.809915154184,-544.1433001097472,544.1433001097472,-555.4175387643388,555.4175387643388
7,wiki_horticulture_01537,1,"[MASK] ადასტურებს კახეთში აღმოჩენილი ვაზის ნამგლისებრი სასხლავი, რომელიც ბრინჯაოსაგან იყო დამზადებული.",ამას,ამან,ეს,-402.4102147974905,402.4102147974905,-402.6384313586753,402.6384313586753,-411.0354370509091,411.0354370509091
8,wiki_hydrology_01579,11,"თანამედროვე ჰიდროლოგია ფართოდ იყენებს გეოგრაფიულ, გეოფიზიკურ და სხვა მეცნიერულ [MASK], სულ უფრო იზრდება მათემატიკური მეთოდების როლი.",მეთოდებს,მეთოდებმა,მეთოდები,-531.8414529146539,531.8414529146539,-529.5642525294825,529.5642525294825,-529.718105417524,529.718105417524
9,wiki_insurance_01648,8,დაზღვევის პირობები განისაზღვრება საბუთით — პოლისით — [MASK] სადაზღვევო კომპანია გასცემს.,რომელსაც,რომელმაც,რომელიც,-354.99263813921243,354.99263813921243,-355.5149326390814,355.5149326390814,-357.2694094193665,357.2694094193665
10,wiki_international_01694,7,ნეოლიბერალური საერთაშორისო ურთიერთობების მიმდევრები იყენებდნენ თამაშის [MASK] რათა აეხსნათ თუ რატომ არ თანამშრომლობენ სახელმწიფოები ერთმანეთთან.,თეორიას,თეორიამ,თეორია,-461.16206245499444,461.16206245499444,-461.6831939247597,461.6831939247597,-460.7768729539709,460.7768729539709
11,wiki_irrigation_01705,15,"მელიორაციული ჰიდროგეოლოგია — ჰიდროგეოლოგიის გამოყენებითი დარგი, რომელიც შეისწავლის და გამოიმუშავებს ჰიდროგეოლოგიური პირობების გაუმჯობესების [MASK], ნიადაგის ნაყოფიერების გაზრდის მიზნით.",მეთოდებს,მეთოდებმა,მეთოდები,-749.3679525680878,749.3679525680878,-748.2786699394585,748.2786699394585,-748.9876524945994,748.9876524945994
12,wiki_law_01749,18,"სამართალი — ბუნებით განპირობებული ადამიანთა უფლება-მოვალეობების განმსაზღვრელი ზოგადსავალდებულო ქცევის წესების ერთობლიობა და საზოგადოებრივი ურთიერთობების მოწესრიგების სისტემა, [MASK] ახასიათებს ნორმატიულობა, ფორმალური განსაზღვრულობა, სისტემურობა და მათი შესრულება სახელმწიფოებრივი ზემოქმედებით არის უზრუნველყოფილი.",რომელსაც,რომელმაც,რომელიც,-1078.5103823297059,1078.5103823297059,-1078.2101046265618,1078.2101046265618,-1078.6556392155658,1078.6556392155658
13,wiki_lexicology_01772,21,"ლექსიკოლოგია (ბერძნ. λεξικός (ლექსიკოს) - სიტყვისა და ლოგია) — ენათმეცნიერების დარგი, რომელიც შეისწავლის ენის ლექსიკურ [MASK], მის შემადგენლობას, ფუნქციონირებასა და ცვალებადობას.",ფონდს,ფონდმა,ფონდი,-812.4508850828059,812.4508850828059,-804.0329071845495,804.0329071845495,-813.8104130399759,813.8104130399759
14,wiki_linguistics_01814,25,"მონათესავე ენათა შედარება გულისხმობს ლექსიკის (მარტივი ფუძეების ანუ ძირების), ბგერების (ფონემების), ფორმანტებისა და შესიტყვების (სინტაგმის) სტრუქტურის [MASK].",შესწავლას,შესწავლამ,შესწავლა,-717.8526237857723,717.8526237857723,-718.8132981591292,718.8132981591292,-718.6042814731973,718.6042814731973
15,wiki_management_01889,20,"პროექტის მართვა (ინგლ. Project Management) წარმოადგენს აკადემიურ დისციპლინას, რომელიც უზრუნველყოფს დროითი, ადამიანური და მატერიალური რესურსების [MASK], ორგანიზებას, უსაფრთხოებასა და მართვას, რათა წარმატებით შესრულდეს პროექტის მიზნები.",დაგეგმვას,დაგეგმვამ,დაგეგმვა,-851.2878794132328,851.2878794132328,-852.9159798860021,852.9159798860021,-864.4632598199341,864.4632598199341
16,wiki_metallurgy_02026,9,"ლითონმცოდნეობა, ლითონგრაფია — მეცნიერება, რომელიც შეისწავლის [MASK] ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის, აგრეთვე მათი ცვალებადობის კანონზომიერებებს თბური, მექანიკური და სხვა ზემოქმედებათა შედეგად.",კავშირს,კავშირმა,კავშირი,-979.6220472106838,979.6220472106838,-983.0001736447954,983.0001736447954,-981.1250987879395,981.1250987879395
17,wiki_metallurgy_02031,10,"ლითონებისა და შენადნობების შემადგენლობას, აგებულებასა და თვისებებს შორის [MASK] იკვლევს ლითონმცოდნეობა (ლითონგრაფია).",კავშირს,კავშირმა,კავშირი,-555.5170725251321,555.5170725251321,-556.9761787303495,556.9761787303495,-555.200238662117,555.200238662117
18,wiki_metaphysics_02051,2,არისტოტელე [MASK] ფილოსოფიის დარგთა შორის უმნიშვნელოვანესად თვლიდა და „პირველად ფილოსოფიას“ ეძახდა.,მას,მან,იგი,-483.77012215619123,483.77012215619123,-485.66397699204373,485.66397699204373,-484.6240095494742,484.6240095494742
19,wiki_physical_02464,6,"ქიმიური თერმოდინამიკა მიზნად ისახავს თერმოდინამიკის [MASK] ქიმიური რეაქციების, ფაზიკური გარდაქმნების (გახსნა, აორთქლება და სხვა).",გამოყენებას,გამოყენებამ,გამოყენება,-571.3402892794485,571.3402892794485,-571.3397771131175,571.3397771131175,-571.3905529791575,571.3905529791575
20,wiki_political_02555,5,"იგი იყენებს კვლევის სტრუქტურულ [MASK], რომელიც დამუშავდა მატემატიკაში, ფიზიკასა და ბუნების სხვა მეცნიერებებში.",მეთოდებს,მეთოდებმა,მეთოდები,-421.7374322272802,421.7374322272802,-419.25369589943324,419.25369589943324,-421.24519807348616,421.24519807348616
21,wiki_politics_02578,2,მონეტარულ [MASK] ძირითადად წარმართავს ცენტრალური ბანკი მონეტარული პოლიტიკის ინსტრუმენტების მეშვეობით.,პოლიტიკას,პოლიტიკამ,პოლიტიკა,-326.43005293983117,326.43005293983117,-324.6061227424697,324.6061227424697,-323.5856758034475,323.5856758034475
