Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,2,"კულტურათა [MASK] ეწოდება უშუალო კავშირურთიერთობის სახეს, რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",ურთიერთქმედება,ურთიერთქმედებას,ურთიერთქმედებამ,-468.4756115895785,468.4756115895785,-469.9738056261919,469.9738056261919,-448.2961914429811,448.2961914429811
1,wiki_customs_00815,17,აზერბაიჯანის სახელმწიფო საბაჟო კომიტეტს (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო [MASK] და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კონტროლი,კონტროლს,კონტროლმა,-767.5177900756396,767.5177900756396,-769.3530042937483,769.3530042937483,-783.7707066473773,783.7707066473773
2,wiki_cybernetics_00846,27,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას რომელსაც ექნება [MASK] მიაღწიოს ადამიანის ინტელექტის გაგებას.",უნარი,უნარს,უნარმა,-478.57203913381915,478.57203913381915,-483.7309296493951,483.7309296493951,-493.01783068087497,493.01783068087497
3,wiki_documentary_00893,3,მუშნის არსებობას [MASK] ეკარგება და იგი ნოსტალგიით იტანჯება.,აზრი,აზრს,აზრმა,-202.91440333682806,202.91440333682806,-228.30061031432956,228.30061031432956,-206.36632000360922,206.36632000360922
4,wiki_entomology_01083,8,მატლს — მუხლუხოს აქვს მღრღნელი ტიპის პირის [MASK].,აპარატი,აპარატს,აპარატმა,-173.70105771528435,173.70105771528435,-180.7465421207286,180.7465421207286,-184.11780141713257,184.11780141713257
5,wiki_entomology_01088,7,უკანა ნაწლავს ეკუთვნის მსხვილი და სწორი [MASK].,ნაწლავი,ნაწლავს,ნაწლავმა,-80.08482961011616,80.08482961011616,-77.23429839983464,77.23429839983464,-79.69472524857187,79.69472524857187
6,wiki_ethics_01132,6,"ეთიკის კოდექსს არ გააჩნია კანონის [MASK] და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",ძალა,ძალას,ძალამ,-435.54182481540767,435.54182481540767,-427.6249978940677,427.6249978940677,-445.513137324332,445.513137324332
7,wiki_farming_01204,3,"დიდი სასურსათო [MASK] აქვს კვერცხს, რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,-224.15657726698663,224.15657726698663,-225.49085695949225,225.49085695949225,-238.1853820584416,238.1853820584416
8,wiki_geology_01367,3,გეოლოგიას მრავალსაუკუნოვანი [MASK] აქვს.,ისტორია,ისტორიას,ისტორიამ,-114.45983886149055,114.45983886149055,-111.9907914038642,111.9907914038642,-126.89367375603322,126.89367375603322
9,wiki_geophysics_01392,18,"ეს იყო ხანა, როდესაც დედამიწის მაგნეტიზმს, მეტეოროლოგიას და დედამიწის შემსწავლელ სხვა დარგებს ფართო მასშტაბით ჩაეყარათ [MASK].",საფუძველი,საფუძველს,საფუძველმა,-385.10925121344917,385.10925121344917,-392.70161035699624,392.70161035699624,-410.0780389586519,410.0780389586519
10,wiki_geophysics_01403,6,დედამიწის სეისმურობის შესწავლას დიდი სახალხო-სამეურნეო [MASK] აქვს მშენებლობის რაციონალურად წარმართვისათვის (სეისმომედეგი ანუ ანტისეისმური მშენებლობა).,მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,-418.97264081477874,418.97264081477874,-413.47089958994786,413.47089958994786,-435.6897244671352,435.6897244671352
11,wiki_history_01486,4,თბილისს ეკავა მნიშვნელოვანი [MASK] რეგიონში.,როლი,როლს,როლმა,-59.64591837104379,59.64591837104379,-61.82341453195439,61.82341453195439,-72.6271274342884,72.6271274342884
12,wiki_history_01516,7,"არსებობს გარკვეული კრიტერიუმები, რომელსაც სამეცნიერო [MASK] უნდა აკმაყოფილებდეს.",ლიტერატურა,ლიტერატურას,ლიტერატურამ,-130.16603069934706,130.16603069934706,-137.43310698779658,137.43310698779658,-144.38502726635545,144.38502726635545
13,wiki_horticulture_01528,4,მემდელოეობას უაღრესად დიდი [MASK] აქვს საზოგადოებრივ მეცხოველეობისათვის მტკიცე საკვები ბაზის შესაქმნელად.,მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,-273.41262103466084,273.41262103466084,-272.4543104077164,272.4543104077164,-282.7563430294551,282.7563430294551
14,wiki_horticulture_01535,3,"მემცენარეობას მეცნიერული [MASK] ჩაეყარა XIX საუკუნის დამლევს, როდესაც საქართველოში დაარსდა ყარაიის, საქარის, აჯამეთის, ოზურგეთის საცდელი მინდვრები.",საფუძვლები,საფუძვლებს,საფუძვლებმა,-342.78600743904747,342.78600743904747,-415.0174464749559,415.0174464749559,-407.14365896384027,407.14365896384027
15,wiki_hydrogeology_01555,5,ამგვარ წყალშემცველ სტრუქტურას არტეზიული [MASK] ეწოდება.,აუზი,აუზს,აუზმა,-167.93402649652165,167.93402649652165,-165.3622800431423,165.3622800431423,-168.51520993325886,168.51520993325886
16,wiki_kartvelian_01734,8,გარკვეული თვალსაზრისით ამ ცნობებს დღესაც არ დაუკარგავთ [MASK].,მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,-154.9515432133976,154.9515432133976,-159.69356928652974,159.69356928652974,-168.54643451069177,168.54643451069177
17,wiki_metaphysics_02068,5,"მესმერს არ შეუმუშავებია მეტაფიზიკური [MASK], მაგრამ პრაქტიკული წვლილი შეიტანა სპირიტუალიზმის ჩამოყალიბებაში.",თეორია,თეორიას,თეორიამ,-340.73196303013225,340.73196303013225,-337.91098871142435,337.91098871142435,-350.54914939638337,350.54914939638337
18,wiki_microbiology_02079,3,ამ არსებებს [MASK] ეწოდება (ლათ. „viruse“ - შხამი) და ისინი სიცოცხლის არაუჯრედულ ფორმებს მიეკუთვნებიან.,ვირუსები,ვირუსებს,ვირუსებმა,-444.8561650543191,444.8561650543191,-427.9490460136399,427.9490460136399,-436.26766910643414,436.26766910643414
