Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,2,"კულტურათა [MASK] ეწოდება უშუალო კავშირურთიერთობის სახეს, რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",ურთიერთქმედება,ურთიერთქმედებას,ურთიერთქმედებამ,-831.9096870089743,831.9096870089743,-836.0007804659958,836.0007804659958,-833.147731591448,833.147731591448
1,wiki_customs_00815,17,აზერბაიჯანის სახელმწიფო საბაჟო კომიტეტს (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო [MASK] და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კონტროლი,კონტროლს,კონტროლმა,-985.7932808655336,985.7932808655336,-987.424986883345,987.424986883345,-988.8263506871741,988.8263506871741
2,wiki_cybernetics_00846,27,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას რომელსაც ექნება [MASK] მიაღწიოს ადამიანის ინტელექტის გაგებას.",უნარი,უნარს,უნარმა,-975.6799716969899,975.6799716969899,-977.3998942522969,977.3998942522969,-977.5587634581202,977.5587634581202
3,wiki_documentary_00893,3,მუშნის არსებობას [MASK] ეკარგება და იგი ნოსტალგიით იტანჯება.,აზრი,აზრს,აზრმა,-250.9221788768072,250.9221788768072,-253.54388190938744,253.54388190938744,-253.45668130913526,253.45668130913526
4,wiki_entomology_01083,8,მატლს — მუხლუხოს აქვს მღრღნელი ტიპის პირის [MASK].,აპარატი,აპარატს,აპარატმა,-240.40036537189306,240.40036537189306,-238.65772216707234,238.65772216707234,-250.00505617352357,250.00505617352357
5,wiki_entomology_01088,7,უკანა ნაწლავს ეკუთვნის მსხვილი და სწორი [MASK].,ნაწლავი,ნაწლავს,ნაწლავმა,-242.6384378748358,242.6384378748358,-242.2259354248734,242.2259354248734,-249.06478854037783,249.06478854037783
6,wiki_ethics_01132,6,"ეთიკის კოდექსს არ გააჩნია კანონის [MASK] და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",ძალა,ძალას,ძალამ,-827.0697835287195,827.0697835287195,-839.9986622117345,839.9986622117345,-836.432465038449,836.432465038449
7,wiki_farming_01204,3,"დიდი სასურსათო [MASK] აქვს კვერცხს, რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,-439.41071170550015,439.41071170550015,-452.6493702282083,452.6493702282083,-455.29760651548594,455.29760651548594
8,wiki_geology_01367,3,გეოლოგიას მრავალსაუკუნოვანი [MASK] აქვს.,ისტორია,ისტორიას,ისტორიამ,-193.5121133954933,193.5121133954933,-200.46549545439365,200.46549545439365,-206.28881777496264,206.28881777496264
9,wiki_geophysics_01392,18,"ეს იყო ხანა, როდესაც დედამიწის მაგნეტიზმს, მეტეოროლოგიას და დედამიწის შემსწავლელ სხვა დარგებს ფართო მასშტაბით ჩაეყარათ [MASK].",საფუძველი,საფუძველს,საფუძველმა,-584.7632074675016,584.7632074675016,-594.7193600233974,594.7193600233974,-594.3890428289865,594.3890428289865
