Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cultural_00812,2,"კულტურათა [MASK] ეწოდება უშუალო კავშირურთიერთობის სახეს, რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",ურთიერთქმედება,ურთიერთქმედებას,ურთიერთქმედებამ,2.0583602594151102e-16,52.10935400973391,7.596036772257394e-17,53.5475307235239,4.4982393276451416e-18,57.62534528660302,0.69
1,wiki_customs_00815,17,აზერბაიჯანის სახელმწიფო საბაჟო კომიტეტს (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო [MASK] და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კონტროლი,კონტროლს,კონტროლმა,7.705894772344824e-10,30.273318463428044,3.915867715340347e-12,37.893805109571396,2.83379258368245e-13,41.68233106788517,0.81
2,wiki_cybernetics_00846,27,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას რომელსაც ექნება [MASK] მიაღწიოს ადამიანის ინტელექტის გაგებას.",უნარი,უნარს,უნარმა,8.776524723210888e-06,16.797918786410797,2.0240627004749996e-07,22.236242682349644,7.89773429542787e-09,26.915914022161246,0.75
3,wiki_documentary_00893,3,მუშნის არსებობას [MASK] ეკარგება და იგი ნოსტალგიით იტანჯება.,აზრი,აზრს,აზრმა,3.154753630630743e-07,21.595969321363683,1.2525055917602267e-09,29.57253580969812,2.1231742166250105e-09,28.81113009784011,0.78
4,wiki_entomology_01083,8,მატლს — მუხლუხოს აქვს მღრღნელი ტიპის პირის [MASK].,აპარატი,აპარატს,აპარატმა,9.36670839358543e-09,26.669810702425313,7.087698672363383e-11,33.71589177354862,1.36549786360708e-13,42.73563817660269,0.72
5,wiki_entomology_01088,7,უკანა ნაწლავს ეკუთვნის მსხვილი და სწორი [MASK].,ნაწლავი,ნაწლავს,ნაწლავმა,1.0282022049072447e-05,16.569516463474667,1.733287609519639e-07,22.459985599211272,1.2240569262818735e-08,26.28375410519022,0.8
6,wiki_ethics_01132,6,"ეთიკის კოდექსს არ გააჩნია კანონის [MASK] და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",ძალა,ძალას,ძალამ,7.345631224626889e-09,27.020466384238038,4.058044066105736e-09,27.876568322650428,3.7760358605490936e-11,34.62433657789845,0.76
7,wiki_farming_01204,3,"დიდი სასურსათო [MASK] აქვს კვერცხს, რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",მნიშვნელობა,მნიშვნელობას,მნიშვნელობამ,2.535413460953356e-13,41.842844200536845,1.9943398912061625e-13,42.189153927325314,7.0746897734369e-15,47.006254536445326,0.82
8,wiki_geology_01367,3,გეოლოგიას მრავალსაუკუნოვანი [MASK] აქვს.,ისტორია,ისტორიას,ისტორიამ,0.23447355628013608,2.0925028688405427,0.025623308111742946,5.2863994421081,0.0013247605678683846,9.560052648580706,0.81
9,wiki_geophysics_01392,18,"ეს იყო ხანა, როდესაც დედამიწის მაგნეტიზმს, მეტეოროლოგიას და დედამიწის შემსწავლელ სხვა დარგებს ფართო მასშტაბით ჩაეყარათ [MASK].",საფუძველი,საფუძველს,საფუძველმა,7.783523441193993e-08,23.6150013776121,2.268455989106003e-12,38.681426468783116,5.0720439782518956e-14,44.16442607369282,0.75
