model,task,evaluation_type,task_type,accuracy
HPLT/hplt_bert_base_ka,intransitive-nom-subj,word-level,mlm,0.97
HPLT/hplt_bert_base_ka,intransitive-nom-subj,sentence-level,mlm,0.66
HPLT/hplt_bert_base_ka,transitive-nom-dat-subj,word-level,mlm,1.0
HPLT/hplt_bert_base_ka,transitive-nom-dat-subj,sentence-level,mlm,0.54
HPLT/hplt_bert_base_ka,transitive-nom-dat-obj,word-level,mlm,0.7
HPLT/hplt_bert_base_ka,transitive-nom-dat-obj,sentence-level,mlm,0.16
HPLT/hplt_bert_base_ka,transitive-erg-nom-subj,word-level,mlm,0.4
HPLT/hplt_bert_base_ka,transitive-erg-nom-subj,sentence-level,mlm,0.18
HPLT/hplt_bert_base_ka,transitive-erg-nom-obj,word-level,mlm,0.96
HPLT/hplt_bert_base_ka,transitive-erg-nom-obj,sentence-level,mlm,0.54
HPLT/hplt_bert_base_ka,transitive-dat-nom-subj,word-level,mlm,0.74
HPLT/hplt_bert_base_ka,transitive-dat-nom-subj,sentence-level,mlm,0.28
HPLT/hplt_bert_base_ka,transitive-dat-nom-obj,word-level,mlm,1.0
HPLT/hplt_bert_base_ka,transitive-dat-nom-obj,sentence-level,mlm,0.52
google-bert/bert-base-multilingual-cased,intransitive-nom-subj,word-level,mlm,1.0
google-bert/bert-base-multilingual-cased,intransitive-nom-subj,sentence-level,mlm,0.71
google-bert/bert-base-multilingual-cased,transitive-nom-dat-subj,word-level,mlm,0.92
google-bert/bert-base-multilingual-cased,transitive-nom-dat-subj,sentence-level,mlm,0.68
google-bert/bert-base-multilingual-cased,transitive-nom-dat-obj,word-level,mlm,0.42
google-bert/bert-base-multilingual-cased,transitive-nom-dat-obj,sentence-level,mlm,0.1
google-bert/bert-base-multilingual-cased,transitive-erg-nom-subj,word-level,mlm,0.08
google-bert/bert-base-multilingual-cased,transitive-erg-nom-subj,sentence-level,mlm,0.14
google-bert/bert-base-multilingual-cased,transitive-erg-nom-obj,word-level,mlm,0.98
google-bert/bert-base-multilingual-cased,transitive-erg-nom-obj,sentence-level,mlm,0.84
